pc_time,packet_no,target_index,track_id,match_distance_m,x_cm,y_cm,speed_cm_s,pv,x_m,y_m,speed_m_s,distance_m
2026-06-26T15:06:41.670,1,0,1,0.000,-45,123,0,99,-0.450,1.230,0.000,1.310
2026-06-26T15:06:41.670,1,1,5,0.000,307,223,0,472,3.070,2.230,0.000,3.794
2026-06-26T15:06:41.670,1,2,2,0.000,107,227,0,1269,1.070,2.270,0.000,2.510
2026-06-26T15:06:41.670,1,3,3,0.000,-217,267,0,1708,-2.170,2.670,0.000,3.441
2026-06-26T15:06:41.670,1,4,4,0.000,-61,356,0,368,-0.610,3.560,0.000,3.612
2026-06-26T15:06:41.670,1,5,6,0.000,171,404,0,197,1.710,4.040,0.000,4.387
2026-06-26T15:06:41.670,1,6,7,0.000,-351,573,0,1147,-3.510,5.730,0.000,6.720
2026-06-26T15:06:41.720,2,0,1,0.000,-45,123,0,98,-0.450,1.230,0.000,1.310
2026-06-26T15:06:41.720,2,1,5,0.022,306,221,0,147,3.060,2.210,0.000,3.775
2026-06-26T15:06:41.720,2,2,2,0.000,107,227,0,1268,1.070,2.270,0.000,2.510
2026-06-26T15:06:41.720,2,3,3,0.000,-217,267,0,1699,-2.170,2.670,0.000,3.441
2026-06-26T15:06:41.720,2,4,4,0.000,-61,356,0,365,-0.610,3.560,0.000,3.612
2026-06-26T15:06:41.720,2,5,6,0.000,171,404,0,212,1.710,4.040,0.000,4.387
2026-06-26T15:06:41.720,2,6,7,0.000,-351,573,0,1148,-3.510,5.730,0.000,6.720
2026-06-26T15:06:41.769,3,0,1,0.000,-45,123,0,98,-0.450,1.230,0.000,1.310
2026-06-26T15:06:41.769,3,1,5,0.030,309,221,0,471,3.090,2.210,0.000,3.799
2026-06-26T15:06:41.769,3,2,2,0.000,107,227,0,1263,1.070,2.270,0.000,2.510
2026-06-26T15:06:41.769,3,3,3,0.000,-217,267,0,1699,-2.170,2.670,0.000,3.441
2026-06-26T15:06:41.769,3,4,4,0.000,-61,356,0,367,-0.610,3.560,0.000,3.612
2026-06-26T15:06:41.769,3,5,6,0.010,172,404,0,189,1.720,4.040,0.000,4.391
2026-06-26T15:06:41.769,3,6,8,0.000,-123,540,0,184,-1.230,5.400,0.000,5.538
2026-06-26T15:06:41.769,3,7,7,0.000,-351,573,0,1140,-3.510,5.730,0.000,6.720
2026-06-26T15:06:41.818,4,0,1,0.000,-45,123,0,98,-0.450,1.230,0.000,1.310
2026-06-26T15:06:41.818,4,1,5,0.000,309,221,0,472,3.090,2.210,0.000,3.799
2026-06-26T15:06:41.818,4,2,2,0.000,107,227,0,1270,1.070,2.270,0.000,2.510
2026-06-26T15:06:41.818,4,3,3,0.000,-217,267,0,1698,-2.170,2.670,0.000,3.441
2026-06-26T15:06:41.818,4,4,4,0.000,-61,356,0,374,-0.610,3.560,0.000,3.612
2026-06-26T15:06:41.818,4,5,6,0.000,172,404,0,217,1.720,4.040,0.000,4.391
2026-06-26T15:06:41.818,4,6,8,0.000,-123,540,0,184,-1.230,5.400,0.000,5.538
2026-06-26T15:06:41.818,4,7,7,0.000,-351,573,0,1143,-3.510,5.730,0.000,6.720
2026-06-26T15:06:41.875,5,0,1,0.028,-47,121,0,99,-0.470,1.210,0.000,1.298
2026-06-26T15:06:41.875,5,1,5,0.000,309,221,0,464,3.090,2.210,0.000,3.799
2026-06-26T15:06:41.875,5,2,2,0.000,107,227,0,1268,1.070,2.270,0.000,2.510
2026-06-26T15:06:41.875,5,3,3,0.000,-217,267,0,1696,-2.170,2.670,0.000,3.441
2026-06-26T15:06:41.875,5,4,4,0.000,-61,356,0,373,-0.610,3.560,0.000,3.612
2026-06-26T15:06:41.875,5,5,6,0.000,172,404,0,229,1.720,4.040,0.000,4.391
2026-06-26T15:06:41.875,5,6,7,0.000,-351,573,0,1134,-3.510,5.730,0.000,6.720
2026-06-26T15:06:41.922,6,0,1,0.022,-49,120,0,99,-0.490,1.200,0.000,1.296
2026-06-26T15:06:41.922,6,1,5,0.000,309,221,0,470,3.090,2.210,0.000,3.799
2026-06-26T15:06:41.922,6,2,2,0.000,107,227,0,1269,1.070,2.270,0.000,2.510
2026-06-26T15:06:41.922,6,3,3,0.000,-217,267,0,1705,-2.170,2.670,0.000,3.441
2026-06-26T15:06:41.922,6,4,4,0.000,-61,356,0,365,-0.610,3.560,0.000,3.612
2026-06-26T15:06:41.922,6,5,6,0.000,172,404,0,200,1.720,4.040,0.000,4.391
2026-06-26T15:06:41.922,6,6,7,0.000,-351,573,0,1137,-3.510,5.730,0.000,6.720
2026-06-26T15:06:41.969,7,0,1,0.000,-49,120,0,99,-0.490,1.200,0.000,1.296
2026-06-26T15:06:41.969,7,1,5,0.032,306,222,0,138,3.060,2.220,0.000,3.780
2026-06-26T15:06:41.969,7,2,2,0.000,107,227,0,1269,1.070,2.270,0.000,2.510
2026-06-26T15:06:41.969,7,3,3,0.000,-217,267,0,1698,-2.170,2.670,0.000,3.441
2026-06-26T15:06:41.969,7,4,4,0.000,-61,356,0,377,-0.610,3.560,0.000,3.612
2026-06-26T15:06:41.969,7,5,6,0.000,172,404,0,227,1.720,4.040,0.000,4.391
2026-06-26T15:06:41.969,7,6,7,0.000,-351,573,0,1135,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.016,8,0,1,0.000,-49,120,0,100,-0.490,1.200,0.000,1.296
2026-06-26T15:06:42.016,8,1,5,0.000,306,222,0,149,3.060,2.220,0.000,3.780
2026-06-26T15:06:42.016,8,2,2,0.000,107,227,0,1265,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.016,8,3,3,0.000,-217,267,0,1704,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.016,8,4,4,0.000,-61,356,0,378,-0.610,3.560,0.000,3.612
2026-06-26T15:06:42.016,8,5,6,0.000,172,404,0,229,1.720,4.040,0.000,4.391
2026-06-26T15:06:42.016,8,6,7,0.000,-351,573,0,1138,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.075,9,0,1,0.000,-49,120,0,97,-0.490,1.200,0.000,1.296
2026-06-26T15:06:42.075,9,1,5,0.000,306,222,0,147,3.060,2.220,0.000,3.780
2026-06-26T15:06:42.075,9,2,2,0.000,107,227,0,1262,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.075,9,3,3,0.000,-217,267,0,1701,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.075,9,4,4,0.000,-61,356,0,372,-0.610,3.560,0.000,3.612
2026-06-26T15:06:42.075,9,5,6,0.000,172,404,0,242,1.720,4.040,0.000,4.391
2026-06-26T15:06:42.075,9,6,7,0.000,-351,573,0,1141,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.123,10,0,1,0.000,-49,120,0,97,-0.490,1.200,0.000,1.296
2026-06-26T15:06:42.123,10,1,5,0.000,306,222,0,152,3.060,2.220,0.000,3.780
2026-06-26T15:06:42.123,10,2,2,0.000,107,227,0,1264,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.123,10,3,3,0.000,-217,267,0,1703,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.123,10,4,4,0.184,-57,374,0,202,-0.570,3.740,0.000,3.783
2026-06-26T15:06:42.123,10,5,6,0.020,170,404,0,248,1.700,4.040,0.000,4.383
2026-06-26T15:06:42.123,10,6,7,0.000,-351,573,0,1147,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.172,11,0,1,0.086,-42,125,0,350,-0.420,1.250,0.000,1.319
2026-06-26T15:06:42.172,11,1,5,0.000,306,222,0,154,3.060,2.220,0.000,3.780
2026-06-26T15:06:42.172,11,2,2,0.000,107,227,0,1263,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.172,11,3,3,0.000,-217,267,0,1700,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.172,11,4,4,0.000,-57,374,0,180,-0.570,3.740,0.000,3.783
2026-06-26T15:06:42.172,11,5,6,0.000,170,404,0,226,1.700,4.040,0.000,4.383
2026-06-26T15:06:42.172,11,6,7,0.000,-351,573,0,1145,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.220,12,0,1,0.036,-45,123,0,97,-0.450,1.230,0.000,1.310
2026-06-26T15:06:42.220,12,1,5,0.032,309,223,0,473,3.090,2.230,0.000,3.811
2026-06-26T15:06:42.220,12,2,2,0.000,107,227,0,1264,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.220,12,3,3,0.000,-217,267,0,1705,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.220,12,4,4,0.071,-56,367,0,367,-0.560,3.670,0.000,3.712
2026-06-26T15:06:42.220,12,5,6,0.000,170,404,0,250,1.700,4.040,0.000,4.383
2026-06-26T15:06:42.220,12,6,7,0.000,-351,573,0,1149,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.268,13,0,1,0.028,-47,121,0,99,-0.470,1.210,0.000,1.298
2026-06-26T15:06:42.268,13,1,5,0.000,309,223,0,148,3.090,2.230,0.000,3.811
2026-06-26T15:06:42.268,13,2,2,0.000,107,227,0,1261,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.268,13,3,3,0.000,-217,267,0,1705,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.268,13,4,4,0.000,-56,367,0,362,-0.560,3.670,0.000,3.712
2026-06-26T15:06:42.268,13,5,6,0.020,170,402,0,147,1.700,4.020,0.000,4.365
2026-06-26T15:06:42.268,13,6,7,0.000,-351,573,0,1153,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.318,14,0,1,0.000,-47,121,0,97,-0.470,1.210,0.000,1.298
2026-06-26T15:06:42.318,14,1,5,0.000,309,223,0,162,3.090,2.230,0.000,3.811
2026-06-26T15:06:42.318,14,2,2,0.000,107,227,0,1263,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.318,14,3,3,0.000,-217,267,0,1702,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.318,14,4,4,0.000,-56,367,0,364,-0.560,3.670,0.000,3.712
2026-06-26T15:06:42.318,14,5,6,0.022,169,404,0,230,1.690,4.040,0.000,4.379
2026-06-26T15:06:42.318,14,6,7,0.000,-351,573,0,1153,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.377,15,0,1,0.000,-47,121,0,100,-0.470,1.210,0.000,1.298
2026-06-26T15:06:42.377,15,1,5,0.000,309,223,0,152,3.090,2.230,0.000,3.811
2026-06-26T15:06:42.377,15,2,2,0.000,107,227,0,1263,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.377,15,3,3,0.000,-217,267,0,1704,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.377,15,4,4,0.163,-53,383,0,171,-0.530,3.830,0.000,3.866
2026-06-26T15:06:42.377,15,5,6,0.067,172,398,0,127,1.720,3.980,0.000,4.336
2026-06-26T15:06:42.377,15,6,7,0.000,-351,573,0,1143,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.426,16,0,1,0.000,-47,121,0,99,-0.470,1.210,0.000,1.298
2026-06-26T15:06:42.426,16,1,5,0.000,309,223,0,161,3.090,2.230,0.000,3.811
2026-06-26T15:06:42.426,16,2,2,0.000,107,227,0,1257,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.426,16,3,3,0.000,-217,267,0,1698,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.426,16,4,4,0.090,-53,374,0,368,-0.530,3.740,0.000,3.777
2026-06-26T15:06:42.426,16,5,6,0.000,172,398,0,199,1.720,3.980,0.000,4.336
2026-06-26T15:06:42.426,16,6,7,0.010,-352,573,0,1151,-3.520,5.730,0.000,6.725
2026-06-26T15:06:42.474,17,0,1,0.000,-47,121,0,98,-0.470,1.210,0.000,1.298
2026-06-26T15:06:42.474,17,1,5,0.028,311,225,0,477,3.110,2.250,0.000,3.839
2026-06-26T15:06:42.474,17,2,2,0.000,107,227,0,1259,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.474,17,3,3,0.000,-217,267,0,1704,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.474,17,4,4,0.030,-50,374,0,189,-0.500,3.740,0.000,3.773
2026-06-26T15:06:42.474,17,5,6,0.010,172,399,0,196,1.720,3.990,0.000,4.345
2026-06-26T15:06:42.474,17,6,7,0.010,-351,573,0,1157,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.522,18,0,1,0.000,-47,121,0,99,-0.470,1.210,0.000,1.298
2026-06-26T15:06:42.522,18,1,5,0.028,309,223,0,160,3.090,2.230,0.000,3.811
2026-06-26T15:06:42.522,18,2,2,0.000,107,227,0,1259,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.522,18,3,3,0.000,-217,267,0,1705,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.522,18,4,4,0.071,-51,367,0,366,-0.510,3.670,0.000,3.705
2026-06-26T15:06:42.522,18,5,6,0.010,172,400,0,189,1.720,4.000,0.000,4.354
2026-06-26T15:06:42.522,18,6,7,0.000,-351,573,0,1156,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.570,19,0,1,0.000,-47,121,0,99,-0.470,1.210,0.000,1.298
2026-06-26T15:06:42.570,19,1,5,0.000,309,223,0,156,3.090,2.230,0.000,3.811
2026-06-26T15:06:42.570,19,2,2,0.000,107,227,0,1260,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.570,19,3,3,0.000,-217,267,0,1702,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.570,19,4,4,0.092,-60,365,0,148,-0.600,3.650,0.000,3.699
2026-06-26T15:06:42.570,19,5,6,0.020,172,398,0,151,1.720,3.980,0.000,4.336
2026-06-26T15:06:42.570,19,6,7,0.000,-351,573,0,1152,-3.510,5.730,0.000,6.720
2026-06-26T15:06:42.617,20,0,1,0.000,-47,121,0,99,-0.470,1.210,0.000,1.298
2026-06-26T15:06:42.617,20,1,5,0.030,306,223,0,156,3.060,2.230,0.000,3.786
2026-06-26T15:06:42.617,20,2,2,0.000,107,227,0,1262,1.070,2.270,0.000,2.510
2026-06-26T15:06:42.617,20,3,3,0.000,-217,267,0,1701,-2.170,2.670,0.000,3.441
2026-06-26T15:06:42.617,20,4,4,0.050,-60,360,0,361,-0.600,3.600,0.000,3.650
2026-06-26T15:06:42.617,20,5,6,0.010,171,398,0,143,1.710,3.980,0.000,4.332
2026-06-26T15:06:42.617,20,6,7,0.000,-351,573,0,1148,-3.510,5.730,0.000,6.720
