pc_time,packet_no,target_index,track_id,match_distance_m,x_cm,y_cm,speed_cm_s,pv,x_m,y_m,speed_m_s,distance_m
2026-06-26T15:42:00.317,1,0,1,0.000,-32,91,-26,57,-0.320,0.910,-0.260,0.965
2026-06-26T15:42:00.317,1,1,2,0.000,25,101,9,42,0.250,1.010,0.090,1.040
2026-06-26T15:42:00.317,1,2,3,0.000,120,200,2,386,1.200,2.000,0.020,2.332
2026-06-26T15:42:00.317,1,3,5,0.000,-181,319,0,903,-1.810,3.190,0.000,3.668
2026-06-26T15:42:00.317,1,4,4,0.000,-1,343,0,217,-0.010,3.430,0.000,3.430
2026-06-26T15:42:00.317,1,5,6,0.000,196,387,0,684,1.960,3.870,0.000,4.338
2026-06-26T15:42:00.317,1,6,8,0.000,-356,399,-1,818,-3.560,3.990,-0.010,5.347
2026-06-26T15:42:00.317,1,7,7,0.000,-141,479,-1,202,-1.410,4.790,-0.010,4.993
2026-06-26T15:42:00.317,1,8,9,0.000,-266,590,0,342,-2.660,5.900,0.000,6.472
2026-06-26T15:42:00.317,1,9,10,0.000,404,616,0,267,4.040,6.160,0.000,7.367
2026-06-26T15:42:00.368,2,0,1,0.045,-28,93,-20,52,-0.280,0.930,-0.200,0.971
2026-06-26T15:42:00.368,2,1,2,0.063,31,99,14,41,0.310,0.990,0.140,1.037
2026-06-26T15:42:00.368,2,2,3,0.199,114,219,1,391,1.140,2.190,0.010,2.469
2026-06-26T15:42:00.368,2,3,5,0.108,-172,325,0,865,-1.720,3.250,0.000,3.677
2026-06-26T15:42:00.368,2,4,4,0.000,-1,343,0,217,-0.010,3.430,0.000,3.430
2026-06-26T15:42:00.368,2,5,6,0.161,210,379,0,669,2.100,3.790,0.000,4.333
2026-06-26T15:42:00.368,2,6,8,0.000,-356,399,-1,1043,-3.560,3.990,-0.010,5.347
2026-06-26T15:42:00.368,2,7,7,0.022,-139,478,-1,1413,-1.390,4.780,-0.010,4.978
2026-06-26T15:42:00.368,2,8,9,0.000,-266,590,0,459,-2.660,5.900,0.000,6.472
2026-06-26T15:42:00.368,2,9,10,0.000,404,616,0,267,4.040,6.160,0.000,7.367
2026-06-26T15:42:00.419,3,0,1,0.010,-28,92,-10,52,-0.280,0.920,-0.100,0.962
