pc_time,packet_no,target_index,track_id,match_distance_m,x_cm,y_cm,speed_cm_s,pv,x_m,y_m,speed_m_s,distance_m
2026-06-26T15:49:43.640,12,0,1,0.032,-59,56,23,305,-0.590,0.560,0.230,0.813
2026-06-26T15:49:43.739,13,0,1,0.054,-54,58,25,651,-0.540,0.580,0.250,0.792
2026-06-26T15:49:43.802,14,0,1,0.063,-48,60,28,314,-0.480,0.600,0.280,0.768
2026-06-26T15:49:43.843,16,0,1,0.086,-43,70,45,179,-0.430,0.700,0.450,0.822
2026-06-26T15:49:43.893,17,0,1,0.030,-43,73,50,688,-0.430,0.730,0.500,0.847
2026-06-26T15:49:43.993,19,0,1,0.020,-43,68,-10,39,-0.430,0.680,-0.100,0.805
2026-06-26T15:49:50.894,157,2,3,0.078,56,200,-57,362,0.560,2.000,-0.570,2.077
2026-06-26T15:49:50.935,158,2,3,0.085,50,194,-60,173,0.500,1.940,-0.600,2.003
2026-06-26T15:49:50.994,159,2,3,0.067,47,188,-62,129,0.470,1.880,-0.620,1.938
2026-06-26T15:49:51.043,160,2,3,0.082,45,180,-64,135,0.450,1.800,-0.640,1.855
2026-06-26T15:49:51.093,161,2,3,0.051,44,175,-65,155,0.440,1.750,-0.650,1.804
2026-06-26T15:49:51.143,162,2,3,0.030,44,172,-33,155,0.440,1.720,-0.330,1.775
2026-06-26T15:49:51.242,164,2,3,0.054,40,160,-81,360,0.400,1.600,-0.810,1.649
2026-06-26T15:49:51.292,165,2,3,0.070,40,153,-87,239,0.400,1.530,-0.870,1.581
2026-06-26T15:49:51.342,166,2,3,0.050,40,148,-91,139,0.400,1.480,-0.910,1.533
2026-06-26T15:49:51.393,167,2,3,0.060,40,142,-94,95,0.400,1.420,-0.940,1.475
2026-06-26T15:49:51.442,168,2,3,0.051,39,137,-96,396,0.390,1.370,-0.960,1.424
2026-06-26T15:49:51.492,169,2,3,0.050,39,132,-98,255,0.390,1.320,-0.980,1.376
2026-06-26T15:49:51.542,170,1,3,0.040,39,128,-100,667,0.390,1.280,-1.000,1.338
2026-06-26T15:49:51.593,171,2,3,0.050,39,123,-101,718,0.390,1.230,-1.010,1.290
2026-06-26T15:49:51.645,172,1,3,0.113,47,115,-102,149,0.470,1.150,-1.020,1.242
2026-06-26T15:49:51.693,173,1,3,0.032,46,112,-103,338,0.460,1.120,-1.030,1.211
2026-06-26T15:49:51.743,174,1,3,0.085,52,106,-103,299,0.520,1.060,-1.030,1.181
2026-06-26T15:49:51.794,175,1,3,0.040,52,102,-104,757,0.520,1.020,-1.040,1.145
2026-06-26T15:49:51.845,176,1,3,0.054,50,97,-104,1558,0.500,0.970,-1.040,1.091
2026-06-26T15:49:51.885,177,1,3,0.054,48,92,-96,936,0.480,0.920,-0.960,1.038
2026-06-26T15:49:51.946,178,1,3,0.040,48,88,-90,592,0.480,0.880,-0.900,1.002
2026-06-26T15:49:51.995,179,1,3,0.050,48,83,-86,507,0.480,0.830,-0.860,0.959
2026-06-26T15:49:52.045,180,1,3,0.045,46,79,-82,388,0.460,0.790,-0.820,0.914
2026-06-26T15:49:52.094,181,1,3,0.030,46,76,-79,303,0.460,0.760,-0.790,0.888
2026-06-26T15:49:52.144,182,1,3,0.042,43,73,-61,52,0.430,0.730,-0.610,0.847
2026-06-26T15:49:52.193,183,1,3,0.030,43,70,-55,1239,0.430,0.700,-0.550,0.822
2026-06-26T15:49:52.243,184,1,3,0.020,43,68,-51,1151,0.430,0.680,-0.510,0.805
2026-06-26T15:49:52.293,185,0,3,0.030,43,65,-47,531,0.430,0.650,-0.470,0.779
2026-06-26T15:49:52.343,186,0,3,0.010,43,64,-44,507,0.430,0.640,-0.440,0.771
2026-06-26T15:49:52.392,187,0,3,0.032,44,61,-42,165,0.440,0.610,-0.420,0.752
2026-06-26T15:49:52.442,188,0,3,0.014,43,60,-41,302,0.430,0.600,-0.410,0.738
2026-06-26T15:49:52.489,189,0,3,0.020,43,58,-39,101,0.430,0.580,-0.390,0.722
2026-06-26T15:49:52.538,190,0,3,0.028,41,56,-38,544,0.410,0.560,-0.380,0.694
2026-06-26T15:49:52.586,191,0,3,0.014,40,55,-38,463,0.400,0.550,-0.380,0.680
2026-06-26T15:49:52.635,192,0,3,0.028,38,53,-45,427,0.380,0.530,-0.450,0.652
2026-06-26T15:49:52.684,193,0,3,0.014,37,52,-51,600,0.370,0.520,-0.510,0.638
2026-06-26T15:49:52.743,194,0,3,0.036,34,50,-47,225,0.340,0.500,-0.470,0.605
2026-06-26T15:49:52.792,195,0,3,0.030,34,47,-52,1101,0.340,0.470,-0.520,0.580
